docket_id,court_id
63945912,washctapp
63945926,washctapp
63945970,washctapp
63945983,washctapp
63945985,washctapp
63946022,washctapp
63946024,washctapp
63946037,washctapp
63946036,washctapp
63946046,washctapp
63946070,washctapp
63946048,washctapp
63946081,washctapp
63946083,washctapp
63946104,washctapp
63946105,washctapp
63946106,washctapp
63946110,washctapp
63946113,washctapp
63946195,washctapp
63946203,washctapp
63946326,washctapp
63946276,washctapp
63946348,washctapp
63946350,washctapp
63946389,washctapp
63946391,washctapp
63946445,washctapp
63946479,washctapp
63946494,washctapp
63946496,washctapp
63946512,washctapp
63946555,washctapp
63946557,washctapp
63946605,washctapp
63946607,washctapp
63946609,washctapp
63946722,washctapp
63946684,washctapp
63946741,washctapp
63946743,washctapp
63946751,washctapp
63946753,washctapp
63946755,washctapp
63950644,washctapp
63950646,washctapp
63946788,washctapp
63946845,washctapp
63950650,washctapp
63950651,washctapp
63950653,washctapp
63946937,washctapp
63946941,washctapp
63946953,washctapp
63946958,washctapp
63947009,washctapp
63947011,washctapp
63947062,washctapp
63947064,washctapp
63947066,washctapp
63947055,washctapp
63947097,washctapp
63947160,washctapp
63947144,washctapp
63947178,washctapp
63947179,washctapp
63947185,washctapp
63947194,washctapp
63947196,washctapp
63947252,washctapp
63947253,washctapp
63947302,washctapp
63947263,washctapp
63950661,washctapp
63950663,washctapp
63950667,washctapp
63947312,washctapp
63947314,washctapp
63947315,washctapp
63947317,washctapp
63947326,washctapp
63947339,washctapp
63947364,washctapp
63947365,washctapp
63947366,washctapp
63947385,washctapp
63947396,washctapp
63947398,washctapp
63947408,washctapp
63947409,washctapp
63947410,washctapp
63947486,washctapp
63947585,washctapp
63947616,washctapp
63947618,washctapp
63947620,washctapp
63947645,washctapp
63947647,washctapp
63947723,washctapp
63947703,washctapp
881683,wash
881675,wash
881674,wash
63947746,washctapp
1608722,wash
63947777,washctapp
63947806,washctapp
63947809,washctapp
63947810,washctapp
63947823,washctapp
63947815,washctapp
2539197,wash
63947839,washctapp
63947844,washctapp
881875,wash
881872,wash
63947861,washctapp
63947859,washctapp
63947863,washctapp
63947884,washctapp
63947887,washctapp
63947888,washctapp
63947927,washctapp
63947929,washctapp
63947931,washctapp
63947960,washctapp
63947969,washctapp
881927,wash
63947989,washctapp
63947991,washctapp
63948024,washctapp
63948009,washctapp
881912,wash
881935,wash
63948065,washctapp
63948117,washctapp
63948205,washctapp
63948208,washctapp
63948209,washctapp
63948212,washctapp
63948228,washctapp
63948230,washctapp
63948241,washctapp
63948243,washctapp
63948236,washctapp
63948255,washctapp
63948257,washctapp
63948259,washctapp
63948266,washctapp
63948270,washctapp
63948272,washctapp
63948312,washctapp
63948351,washctapp
63948353,washctapp
63948366,washctapp
63948370,washctapp
63948387,washctapp
63948389,washctapp
63948392,washctapp
63948393,washctapp
63948395,washctapp
63948446,washctapp
63948447,washctapp
63948450,washctapp
63948451,washctapp
63948452,washctapp
63948458,washctapp
63948460,washctapp
63948463,washctapp
63948498,washctapp
63948520,washctapp
63950716,washctapp
63950718,washctapp
63948566,washctapp
63948572,washctapp
881084,wash
63950746,washctapp
63950748,washctapp
63948634,washctapp
63948641,washctapp
63950762,washctapp
63948644,washctapp
63948648,washctapp
63948728,washctapp
63948729,washctapp
63948731,washctapp
63948733,washctapp
63948735,washctapp
63948737,washctapp
63948742,washctapp
63950771,washctapp
63948815,washctapp
63950801,washctapp
63950803,washctapp
63950774,washctapp
63950775,washctapp
880637,wash
63948889,washctapp
63948850,washctapp
63948908,washctapp
63948961,washctapp
880668,washctapp
63948975,washctapp
63948977,washctapp
63949002,washctapp
63949003,washctapp
63949025,washctapp
63949035,washctapp
63949036,washctapp
63949089,washctapp
63949091,washctapp
63949117,washctapp
63949137,washctapp
63949180,washctapp
63949262,washctapp
880681,wash
880639,washctapp
63949302,washctapp
63949304,washctapp
63949346,washctapp
63949348,washctapp
63949404,washctapp
63949407,washctapp
63949447,washctapp
63949469,washctapp
63949471,washctapp
63949472,washctapp
63949474,washctapp
880747,wash
63949485,washctapp
63949508,washctapp
63949510,washctapp
63949512,washctapp
880746,wash
63949569,washctapp
1608638,wash
63949634,washctapp
63949614,washctapp
63949654,washctapp
63949659,washctapp
63949715,washctapp
63949716,washctapp
55591,wash
63949736,washctapp
881401,wash
880832,wash
1608531,wash
63949867,washctapp
63949869,washctapp
880916,washctapp
63949908,washctapp
63949911,washctapp
63949936,washctapp
63950012,washctapp
63934057,washctapp
63934128,washctapp
63934131,washctapp
63934224,washctapp
63934274,washctapp
63934277,washctapp
63934285,washctapp
63934289,washctapp
63934331,washctapp
63934335,washctapp
63934337,washctapp
63950048,washctapp
63950050,washctapp
63950037,washctapp
63934371,washctapp
63934374,washctapp
63934401,washctapp
63934405,washctapp
63934410,washctapp
63934498,washctapp
63950101,washctapp
63950068,washctapp
63934589,washctapp
63934535,washctapp
63934642,washctapp
63934698,washctapp
63934699,washctapp
63934853,washctapp
63934899,washctapp
63934877,washctapp
63950120,washctapp
63950121,washctapp
63934909,washctapp
63934911,washctapp
63934912,washctapp
63934945,washctapp
63934934,washctapp
63934958,washctapp
63935049,washctapp
63935173,washctapp
63935183,washctapp
63935307,washctapp
63935324,washctapp
63935325,washctapp
63935327,washctapp
63935361,washctapp
63935363,washctapp
63935365,washctapp
63935379,washctapp
63935381,washctapp
63935421,washctapp
63935423,washctapp
63935425,washctapp
63935447,washctapp
63950156,washctapp
63950158,washctapp
63950137,washctapp
63935598,washctapp
63935652,washctapp
63935663,washctapp
63935665,washctapp
63935694,washctapp
63935696,washctapp
63935698,washctapp
63935701,washctapp
63935803,washctapp
63935880,washctapp
63935881,washctapp
63935927,washctapp
63935928,washctapp
63935930,washctapp
63935933,washctapp
63935937,washctapp
63935939,washctapp
63935983,washctapp
63950184,washctapp
63936776,washctapp
63936877,washctapp
63936867,washctapp
63936912,washctapp
63936941,washctapp
63936937,washctapp
63936948,washctapp
63936950,washctapp
63936982,washctapp
63937022,washctapp
63937024,washctapp
63937025,washctapp
63937031,washctapp
63937044,washctapp
63937032,washctapp
63937033,washctapp
63937035,washctapp
63937037,washctapp
63937038,washctapp
63937056,washctapp
63937058,washctapp
63937060,washctapp
63937061,washctapp
63937062,washctapp
63937064,washctapp
63937066,washctapp
63937067,washctapp
63937070,washctapp
63937072,washctapp
63937083,washctapp
63937085,washctapp
63937096,washctapp
63937097,washctapp
63937099,washctapp
63937101,washctapp
63937114,washctapp
63937115,washctapp
63950240,washctapp
63950243,washctapp
63937171,washctapp
63937174,washctapp
63937315,washctapp
63937348,washctapp
63937350,washctapp
63937351,washctapp
63937352,washctapp
63937400,washctapp
63937402,washctapp
63937417,washctapp
63937420,washctapp
63937459,washctapp
63937463,washctapp
63937559,washctapp
63937602,washctapp
63937596,washctapp
63937646,washctapp
63937662,washctapp
63937664,washctapp
63937684,washctapp
63937685,washctapp
63937687,washctapp
63937691,washctapp
63937695,washctapp
63937717,washctapp
63937766,washctapp
63937815,washctapp
63937816,washctapp
63937862,washctapp
63937864,washctapp
63937931,washctapp
63937937,washctapp
63950270,washctapp
63937975,washctapp
63938014,washctapp
63937992,washctapp
63938032,washctapp
63938077,washctapp
63938189,washctapp
63938246,washctapp
63938258,washctapp
63938260,washctapp
63938295,washctapp
63938298,washctapp
63938324,washctapp
63938334,washctapp
63938335,washctapp
63938379,washctapp
63938381,washctapp
63938405,washctapp
63938406,washctapp
63938408,washctapp
63938498,washctapp
63938551,washctapp
63938631,washctapp
63938655,washctapp
63938684,washctapp
63938749,washctapp
63938718,washctapp
63938759,washctapp
63938761,washctapp
63938763,washctapp
63938805,washctapp
63938806,washctapp
63938807,washctapp
63938810,washctapp
63938865,washctapp
63938867,washctapp
63938896,washctapp
63938898,washctapp
63938914,washctapp
63938975,washctapp
63938994,washctapp
63938995,washctapp
63938997,washctapp
63939003,washctapp
63939005,washctapp
63939009,washctapp
63939011,washctapp
63939013,washctapp
63939019,washctapp
63950306,washctapp
63950308,washctapp
63939036,washctapp
63950323,washctapp
63939038,washctapp
63950326,washctapp
63950328,washctapp
63939075,washctapp
63939081,washctapp
63939086,washctapp
63939098,washctapp
63939103,washctapp
63939128,washctapp
63939130,washctapp
63939212,washctapp
63939243,washctapp
63939277,washctapp
63939317,washctapp
63939320,washctapp
63939364,washctapp
63939366,washctapp
63939391,washctapp
63939393,washctapp
63939408,washctapp
63939410,washctapp
63939411,washctapp
63939426,washctapp
63939428,washctapp
63939429,washctapp
63939430,washctapp
